BTS ASCII format															
															
Type:         	Emg tracks														
Measure unit: 	mV														
															
Tracks:       	14														
Frequency:    	1000 [Hz]														
Frames:       	11111														
Start time:   	0														
															
 Frame	  Time  	Right Rectus femoris  	Right Vastus medialis  	Right Vastus lateralis  	Right Tibialis anterior  	Right Biceps femoris caput longus  	Right Semitendinosus  	Right Gastrocnemius medialis  	Right Gastrocnemius lateralis  	Right Peroneus longus  	Right Soleus  	Right Erector spinae ileocostalis  	Right Tensor fasciae latae  	Right Gluteus maximus  	Right Gluteus medius
113	0.113	0.0157	0.0057	0.0092	0.0091	0.0175	0.0025	-0.0135	0.0129	-0.0053	0.0161	0.0049	-0.0085	-0.0224	-0.0078
114	0.114	0.0133	-0.0129	-0.0127	-0.0035	0.0039	-0.0012	0.0017	0.0057	-0.0103	0.0218	0.003	-0.0043	-0.0214	-0.0082
115	0.115	0.0154	-0.0152	-0.0395	-0.0019	-0.0135	0.0037	0.0077	0.0122	-0.0057	0.0269	-0.002	-0.0129	-0.0205	-0.0069
116	0.116	0.0172	-0.0264	-0.0139	-0.0035	0.002	0.0031	0.0133	0.0414	0.0012	-0.0166	-0.0065	-0.0159	-0.018	-0.004
117	0.117	0.0153	-0.0406	-0.0039	-0.0049	-0.0288	-0.0009	0.0048	0.0148	0.0049	-0.0456	-0.0024	-0.0127	-0.0143	-0.0043
118	0.118	0.0101	-0.0201	-0.0008	-0.0037	-0.0773	-0.0045	0.0032	-0.0385	0.0105	-0.0401	-0.0061	-0.0099	-0.0136	-0.0019
119	0.119	0.0056	-0.012	0.0183	-0.007	-0.0061	-0.0033	0.0073	-0.0314	0.0115	-0.0062	-0.007	-0.0056	-0.0094	-0.0008
120	0.12	0.0044	-0.0096	0.0556	-0.0039	0.0033	-0.008	-0.0092	0.0009	0.007	0.0156	-0.004	0.0059	-0.0029	-0.0027
121	0.121	-0.0044	-0.0207	0.0717	0.0024	-0.0054	-0.0075	0.002	0.0066	0.0062	0.0038	-0.0031	0.0109	0.0013	-0.0014
122	0.122	-0.0146	-0.0022	0.0479	-0.0001	-0.0133	-0.0046	0.0039	0.0118	0.0055	-0.0289	0.0012	0.0184	0.005	-0.0036
123	0.123	-0.0132	0.0003	0.0261	-0.0054	0.0222	0.0011	-0.0017	0.0261	0.0006	-0.0157	-0.001	0.0032	0.0086	-0.0054
124	0.124	-0.0144	-0.0017	0.0062	-0.0019	0.0157	0.0081	-0.0001	0.0305	0.0064	-0.0196	0.0026	0.0093	0.0068	-0.0041
125	0.125	-0.0176	-0.0075	-0.0191	-0.0002	-0.0372	0.0017	0.0105	0.0185	0.0027	-0.016	-0.0068	0.0074	0.0039	-0.0024
126	0.126	-0.0123	-0.0018	-0.042	-0.0067	-0.0729	0.0076	0.0146	0.022	0.0033	0.0332	-0.0164	0.0158	0.0003	0
127	0.127	-0.0097	0.0068	-0.0567	-0.0041	-0.0146	-0.0009	0.0032	0.0054	0.0029	0.0259	-0.0101	0.0111	0.0015	-0.0003
128	0.128	-0.0106	-0.0008	-0.0482	0.0058	0.0713	-0.0019	0.0016	0.0502	0.0024	-0.0063	-0.009	0.0207	-0.0014	0.0011
129	0.129	-0.0021	-0.0105	-0.0552	-0.0011	0.0827	0.0012	0.0002	0.0953	-0.0054	0.0111	-0.0036	0.002	0.0004	0.001
130	0.13	-0.0032	-0.0043	-0.0213	0.0001	0.0723	-0.0015	-0.0112	0.0072	-0.0086	0.0059	0.0028	-0.0114	0.0056	0.0042
131	0.131	-0.0168	0.0012	0.0226	-0.0031	-0.0132	-0.0006	-0.0312	-0.056	-0.0096	0.0012	0.0156	0.001	0.0049	-0.0014
132	0.132	-0.041	0.0042	0.0171	-0.0001	-0.0478	-0.0028	-0.0121	-0.0445	-0.0087	0.0055	0.0138	-0.0144	0.0028	-0.0035
133	0.133	-0.0508	0.0033	0.012	-0.001	-0.1	-0.0092	-0.0145	-0.0967	-0.0165	0.0015	0.0255	-0.0083	0.0045	-0.0055
